,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
416,"[10, 7, 4]",two-tone,1,1,1,0.7582452641273438,"[10, 7, 4]",0.7582452641273438
417,"[10, 7, 3]",two-tone,2,2,2,0.7226526879047391,"[10, 7, 3]",0.7226526879047391
418,"[10, 7, 2]",two-tone,2,2,2,0.7717556479406897,"[10, 7, 2]",0.7717556479406897
419,"[10, 6, 6]",two-tone,15,10,7,0.8540213861401513,"[10, 6, 6]",0.8540213861401513
420,"[10, 6, 5]",two-tone,1,1,1,0.85456710941404,"[10, 6, 5]",0.85456710941404
421,"[10, 6, 4]",two-tone,1,1,1,0.8991973323497369,"[10, 6, 4]",0.8991973323497369
422,"[10, 6, 3]",two-tone,1,1,1,0.8709509992686801,"[10, 6, 3]",0.8709509992686801
423,"[10, 6, 2]",two-tone,1,1,1,0.8610673242109065,"[10, 6, 2]",0.8610673242109065
424,"[10, 5, 5]",two-tone,15,10,7,0.9991244909316416,"[10, 5, 5]",0.9991244909316416
425,"[10, 5, 4]",two-tone,8,6,4,0.8925001774116639,"[10, 5, 4]",0.8925001774116639
426,"[10, 5, 3]",two-tone,8,6,4,0.953639576097166,"[10, 5, 3]",0.953639576097166
427,"[10, 5, 2]",two-tone,10,7,5,0.909580510555164,"[10, 5, 2]",0.909580510555164
428,"[10, 4, 4]",two-tone,15,10,7,1.09646237766326,"[10, 4, 4]",1.09646237766326
429,"[10, 4, 3]",two-tone,10,7,5,0.9117248630886556,"[10, 4, 3]",0.9117248630886556
430,"[10, 4, 2]",two-tone,10,7,5,0.975404541525611,"[10, 4, 2]",0.975404541525611
431,"[10, 3, 3]",two-tone,15,10,7,1.060141467758788,"[10, 3, 3]",1.060141467758788
432,"[10, 3, 2]",two-tone,10,7,5,0.8964341835887238,"[10, 3, 2]",0.8964341835887238
433,"[10, 2, 2]",two-tone,10,7,5,0.9517435876723929,"[10, 2, 2]",0.9517435876723929
434,"[10, 10, 9]",two-tone,1,1,1,0.5749286670536121,"[10, 10, 9]",0.5749286670536121
435,"[10, 10, 8]",two-tone,1,1,1,0.7051703496351361,"[10, 10, 8]",0.7051703496351361
436,"[10, 10, 7]",two-tone,2,2,2,0.6379559827214429,"[10, 10, 7]",0.6379559827214429
437,"[10, 10, 6]",two-tone,1,1,1,0.6272337694155331,"[10, 10, 6]",0.6272337694155331
438,"[10, 10, 5]",two-tone,15,10,7,0.8855737142771812,"[10, 10, 5]",0.8855737142771812
439,"[10, 10, 4]",two-tone,15,10,7,1.0333605090733982,"[10, 10, 4]",1.0333605090733982
440,"[10, 10, 3]",two-tone,15,10,7,1.0419272365476453,"[10, 10, 3]",1.0419272365476453
441,"[10, 10, 2]",two-tone,15,10,7,1.0319187249397903,"[10, 10, 2]",1.0319187249397903
