,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
75,"[7, 5, 2]",two-tone,1,1,1,0.4574222895762368,"[7, 5, 2]",0.4574222895762368
76,"[7, 4, 4]",two-tone,1,1,1,0.19987444837406548,"[7, 4, 4]",0.19987444837406548
77,"[7, 4, 3]",two-tone,1,1,1,-0.12181990476153293,"[7, 4, 3]",-0.12181990476153293
78,"[7, 4, 2]",two-tone,1,1,1,-0.16815621959406654,"[7, 4, 2]",-0.16815621959406654
79,"[7, 3, 3]",two-tone,1,1,1,0.09145293466859544,"[7, 3, 3]",0.09145293466859544
80,"[7, 3, 2]",two-tone,1,1,1,-0.2014382616592644,"[7, 3, 2]",-0.2014382616592644
81,"[7, 2, 2]",two-tone,2,2,2,0.03665874592255522,"[7, 2, 2]",0.03665874592255522
82,"[6, 6, 5]",two-tone,1,1,1,0.9488521835518352,"[6, 6, 5]",0.9488521835518352
83,"[6, 6, 4]",two-tone,1,1,1,0.8708443753653415,"[6, 6, 4]",0.8708443753653415
84,"[6, 6, 3]",two-tone,1,1,1,0.4828491876908166,"[6, 6, 3]",0.4828491876908166
85,"[6, 6, 2]",two-tone,2,2,2,0.4570368987289928,"[6, 6, 2]",0.4570368987289928
86,"[6, 5, 5]",two-tone,1,1,1,0.6889530107706694,"[6, 5, 5]",0.6889530107706694
87,"[6, 5, 4]",two-tone,1,1,1,-0.7745271147470748,"[6, 5, 4]",-0.7745271147470748
88,"[6, 5, 3]",two-tone,1,1,1,0.28642077800443705,"[6, 5, 3]",0.28642077800443705
89,"[6, 5, 2]",two-tone,1,1,1,0.4238092729519928,"[6, 5, 2]",0.4238092729519928
90,"[6, 4, 4]",two-tone,1,1,1,0.5244913786650912,"[6, 4, 4]",0.5244913786650912
91,"[6, 4, 3]",two-tone,1,1,1,0.5095726870931125,"[6, 4, 3]",0.5095726870931125
92,"[6, 4, 2]",two-tone,1,1,1,0.1908962156822471,"[6, 4, 2]",0.1908962156822471
93,"[6, 3, 3]",two-tone,1,1,1,-0.049011610667371516,"[6, 3, 3]",-0.049011610667371516
94,"[6, 3, 2]",two-tone,1,1,1,-0.18211856032013166,"[6, 3, 2]",-0.18211856032013166
95,"[6, 2, 2]",two-tone,2,2,2,-0.10121153331727477,"[6, 2, 2]",-0.10121153331727477
96,"[5, 5, 4]",two-tone,1,1,1,0.8056452809247009,"[5, 5, 4]",0.8056452809247009
97,"[5, 5, 3]",two-tone,1,1,1,0.3581205512039229,"[5, 5, 3]",0.3581205512039229
98,"[5, 5, 2]",two-tone,2,2,2,0.33320135593443306,"[5, 5, 2]",0.33320135593443306
99,"[5, 4, 4]",two-tone,1,1,1,0.5031501273677284,"[5, 4, 4]",0.5031501273677284
100,"[5, 4, 3]",two-tone,1,1,1,0.5606235853079548,"[5, 4, 3]",0.5606235853079548
101,"[5, 4, 2]",two-tone,1,1,1,0.4176762629844117,"[5, 4, 2]",0.4176762629844117
102,"[5, 3, 3]",two-tone,2,2,2,-0.09002749382680625,"[5, 3, 3]",-0.09002749382680625
103,"[5, 3, 2]",two-tone,2,2,2,-0.3038561255028048,"[5, 3, 2]",-0.3038561255028048
104,"[5, 2, 2]",two-tone,1,1,1,-0.14192326305289962,"[5, 2, 2]",-0.14192326305289962
105,"[4, 4, 3]",two-tone,1,1,1,0.1315371335213792,"[4, 4, 3]",0.1315371335213792
106,"[4, 4, 2]",two-tone,1,1,1,0.09069842293346453,"[4, 4, 2]",0.09069842293346453
107,"[4, 3, 3]",two-tone,1,1,1,-0.18977176584063546,"[4, 3, 3]",-0.18977176584063546
108,"[4, 3, 2]",two-tone,1,1,1,0.1942538070299597,"[4, 3, 2]",0.1942538070299597
109,"[4, 2, 2]",two-tone,1,1,1,-0.2571466638280398,"[4, 2, 2]",-0.2571466638280398
110,"[3, 3, 2]",two-tone,1,1,1,-0.1060507455772004,"[3, 3, 2]",-0.1060507455772004
